id_pedido;fecha;direccion;menu;monto;calificacion;t_despacho;t_preparacion;estado_transaccion
ID_99;02-01-2020;Mico Layout, Stage 2, BTM Layout,Bangalore;Chileno;7608;3.9;37.35713842;18.24452017;0
ID_100;02-01-2020;Delhi Administration Flats, Timarpur;Italiano;12997;3.6;82.85115066;13.14121542;1
ID_102;02-01-2020;Sector 3, Marathalli;Chileno;9163;3.3;32.97654191;13.94898127;1
ID_103;02-01-2020;Mico Layout, Stage 2, BTM Layout,Bangalore;Francés;20943;3.6;52.99115999;17.4705495;1
ID_104;02-01-2020;FTI College, Law College Road, Pune;Español;16519;3.5;56.36086915;13.7475652;1
ID_105;02-01-2020;MG Road, Pune;Chileno;8839;3.5;34.83131407;18.16764485;1
ID_105;02-01-2020;FTI College, Law College Road, Pune;Español;8318;3.5;61.66774598;18.655658;0
ID_105;02-01-2020;Nathan Road, Mangaldas Road, Pune;Francés;7322;3.5;47.65584294;13.38179267;1
ID_108;02-01-2020;Rmz Centennial, I Gate, Whitefield;Argentino;9645;4;66.82210225;17.67675966;1
ID_109;02-01-2020;FTI College, Law College Road, Pune;Francés;9321;3.6;57.70853423;19.06104841;1
ID_110;03-01-2020;Rmz Centennial, I Gate, Whitefield;Chileno;13196;3.6;39.76494361;14.31219211;1
ID_111;03-01-2020;FTI College, Law College Road, Pune;Italiano;34696;3.1;61.6849753;16.44076935;1
ID_112;03-01-2020;Delhi Administration Flats, Timarpur;Peruano;21200;3.4;33.30563397;17.15310023;1
ID_114;03-01-2020;Sector 1, Noida;Francés;16756;3.6;27.24892082;18.98222529;1
ID_117;03-01-2020;Sector 1, Noida;Chileno;23456;3.3;51.59597822;18.91555833;1
ID_117;03-01-2020;Sector 14, Noida;Francés;23009;3.3;59.96177414;16.20231074;1
ID_117;03-01-2020;D-Block, Sector 63, Noida;Chileno;31194;3.4;36.69299992;14.07323679;1
ID_118;03-01-2020;FTI College, Law College Road, Pune;Chileno;19089;3.9;53.2615408;13.06193672;1
ID_120;03-01-2020;Mico Layout, Stage 2, BTM Layout,Bangalore;Español;24630;3.7;46.71074859;14.86812507;1
ID_122;03-01-2020;Delhi Administration Flats, Timarpur;Italiano;16849;3.4;44.81349297;19.77317731;1
ID_124;03-01-2020;Pune University;Francés;19124;4.5;44.34020384;14.06148714;1
ID_125;03-01-2020;Delhi Cantt.;Español;11161;3.3;64.96936904;13.31168831;1
ID_126;03-01-2020;Mico Layout, Stage 2, BTM Layout,Bangalore;Chileno;17066;3.4;27.10906125;17.23934055;1
ID_128;03-01-2020;Yerawada, Pune, Maharashtra;Francés;17167;3.1;65.66247465;12.46848805;1
ID_129;03-01-2020;Laxman Vihar Industrial Area, Sector 3A, Gurgoan;Francés;19709;3.2;63.23681037;18.03811896;1
ID_131;03-01-2020;Delhi University-GTB Nagar;Español;8696;3.6;76.39391262;12.44872926;1
ID_132;03-01-2020;Delhi Cantt.;Italiano;8553;3.1;70.50001601;13.21668866;1
ID_133;03-01-2020;D-Block, Sector 63, Noida;Italiano;11768;3.5;31.36763915;17.23410796;1
ID_134;03-01-2020;Dockyard Road, Mumbai CST Area;Peruano;7467;3.4;34.39093623;12.38038448;1
ID_134;03-01-2020;Mumbai Central;Peruano;9410;3.4;35.62211704;14.48676186;1
ID_134;03-01-2020;Sandhurst Road, Mumbai CST Area;Argentino;7728;3.4;25.81262827;17.34440851;1
ID_136;03-01-2020;D-Block, Sector 63, Noida;Peruano;12713;3.2;70.84657514;15.74459276;1
ID_136;03-01-2020;Sector 1, Noida;Francés;12399;3.2;32.80164631;16.08357218;1
ID_138;03-01-2020;Sector 14, Noida;Chileno;16135;3.7;54.52395505;12.98542926;1
ID_139;03-01-2020;Babarpur, New Delhi, Delhi;Chileno;19303;2.8;50.23437835;12.95820779;1
ID_140;03-01-2020;Rmz Centennial, I Gate, Whitefield;Español;7290;2.7;63.76710123;13.55185159;1
ID_141;03-01-2020;Mico Layout, Stage 2, BTM Layout,Bangalore;Chileno;26997;3.9;80.27010356;15.1902561;1
ID_142;03-01-2020;FTI College, Law College Road, Pune;Español;8174;4.1;26.66562099;17.91574495;1
ID_145;03-01-2020;Delhi High Court, India Gate;Francés;62058;4.8;51.43924041;13.67657124;1
ID_147;03-01-2020;Yerawada, Pune, Maharashtra;Italiano;32102;4.3;73.32300481;13.12235584;1
ID_147;03-01-2020;Nathan Road, Mangaldas Road, Pune;Italiano;30400;4.3;42.21123745;19.36201234;1
ID_149;03-01-2020;Chandni Chowk, Kolkata;Italiano;12359;3.8;70.70959571;12.35049844;1
ID_149;03-01-2020;Moulali, Kolkata;Español;12738;3.8;56.02089294;16.2008056;1
ID_149;03-01-2020;Tiretti, Kolkata;Chileno;12481;3.8;34.98230718;16.44308407;1
ID_149;03-01-2020;Raja Bazar, Kolkata;Italiano;12441;3.8;58.9703339;13.74672913;1
ID_150;03-01-2020;Gora Bazar, Rajbari, North Dumdum, Kolkata;Chileno;8293;3.8;47.25611621;17.16266585;1
ID_151;03-01-2020;Sector 3, Marathalli;Italiano;12721;3;27.14752674;12.7587102;1
ID_151;03-01-2020;Rmz Centennial, I Gate, Whitefield;Argentino;12186;3;25.46859586;19.25937576;1
ID_152;03-01-2020;Mico Layout, Stage 2, BTM Layout,Bangalore;Francés;19937;3.5;73.66276482;19.9698005;1
ID_152;03-01-2020;Mico Layout, Stage 2, BTM Layout,Bangalore;Francés;23564;3.2;50.38093742;12.22819695;1
ID_153;03-01-2020;Mico Layout, Stage 2, BTM Layout,Bangalore;Francés;20747;3.3;32.04546665;14.20912172;1
ID_155;03-01-2020;Delhi Administration Flats, Timarpur;Francés;35258;4.2;51.66617479;19.28050157;1
ID_156;03-01-2020;Mico Layout, Stage 2, BTM Layout,Bangalore;Argentino;7422;3.7;35.08406868;17.33959759;1
ID_160;03-01-2020;Sector 3, Marathalli;Chileno;9351;3.4;80.87507144;17.54527593;1
ID_162;03-01-2020;Pune University;Argentino;20061;3.1;32.69435785;16.92327117;1
ID_163;04-01-2020;Rmz Centennial, I Gate, Whitefield;Francés;8207;3.7;53.83664348;15.90288656;1
ID_164;04-01-2020;D-Block, Sector 63, Noida;Chileno;11408;3.3;33.44147497;15.58858853;1
ID_164;04-01-2020;Laxman Vihar Industrial Area, Sector 3A, Gurgoan;Italiano;13087;3.3;68.24886028;13.55253868;1
ID_164;04-01-2020;Gora Bazar, Rajbari, North Dumdum, Kolkata;Italiano;11875;2.9;37.42287409;14.48821934;1
ID_164;04-01-2020;Sector 1, Noida;Italiano;11668;3.3;40.01384541;17.67716166;1
ID_165;04-01-2020;Sector 3, Marathalli;Francés;16548;3.3;69.78944798;14.78927701;1
ID_168;04-01-2020;Tejas Nagar Colony, Wadala West, Mumbai;Chileno;3736;3.7;72.99464052;15.75516548;1
ID_170;04-01-2020;Sandhurst Road, Mumbai CST Area;Francés;15706;3.6;27.04694705;12.18892944;1
ID_170;04-01-2020;Mumbai Central;Chileno;15073;3.6;27.28216631;15.15929357;1
ID_172;04-01-2020;Majestic;Chileno;11225;3.4;52.66338067;14.93247237;1
ID_174;04-01-2020;Delhi Cantt.;Francés;16112;3.4;36.72818397;14.69055591;1
ID_175;04-01-2020;Babarpur, New Delhi, Delhi;Francés;11193;3.7;67.61351683;12.95963568;1
ID_176;04-01-2020;Hyderabad Public School, Begumpet;Chileno;12044;3.3;31.09589072;19.41260812;1
ID_177;04-01-2020;Delhi Cantt.;Peruano;20153;3.9;43.89439625;19.39117766;1
ID_178;04-01-2020;Mico Layout, Stage 2, BTM Layout,Bangalore;Chileno;8222;3.6;64.18732446;17.10246318;1
ID_179;04-01-2020;Majestic;Italiano;11511;2.5;43.19205469;14.73602595;1
ID_179;04-01-2020;Mico Layout, Stage 2, BTM Layout,Bangalore;Argentino;11501;3.8;89.20872407;18.46983855;1
ID_181;04-01-2020;Delhi High Court, India Gate;Español;11980;3.4;51.27691931;16.79374233;1
ID_183;04-01-2020;Mico Layout, Stage 2, BTM Layout,Bangalore;Francés;11914;4;71.71535845;19.68292578;1
ID_184;04-01-2020;FTI College, Law College Road, Pune;Chileno;9378;3.6;32.90974322;15.61881506;1
ID_186;04-01-2020;Rmz Centennial, I Gate, Whitefield;Español;8542;3.9;40.612974;16.71235246;1
ID_187;04-01-2020;Delhi Administration Flats, Timarpur;Chileno;15163;3.2;26.01442938;17.5139436;1
ID_187;04-01-2020;Delhi University-GTB Nagar;Italiano;14964;3.2;77.03685219;18.09566461;1
ID_187;04-01-2020;Babarpur, New Delhi, Delhi;Francés;17325;3.2;64.32545909;16.31962642;1
ID_188;04-01-2020;Panjetan Colony, Malakpet, Hyderabad;Chileno;11552;3.3;58.55598358;13.8771903;1
ID_188;04-01-2020;Sector 3, Marathalli;Chileno;13090;2.8;32.74581021;14.97454985;1
ID_188;04-01-2020;MG Road, Pune;Italiano;12446;3.3;52.25126882;14.48823187;1
ID_188;04-01-2020;D-Block, Sector 63, Noida;Chileno;12694;3.2;55.87909578;12.32830132;1
ID_188;04-01-2020;Rmz Centennial, I Gate, Whitefield;Chileno;12825;2.8;54.06347624;16.31030308;1
ID_188;04-01-2020;Sector 14, Noida;Francés;11228;3.1;44.5927542;16.91890819;1
ID_188;04-01-2020;Babarpur, New Delhi, Delhi;Argentino;12324;3;80.1815637;16.19079363;1
ID_188;04-01-2020;Musi Nagar, Malakpet, Hyderabad;Español;12521;3.3;75.65668187;12.80528094;1
ID_188;04-01-2020;Chatta Bazaar, Malakpet, Hyderabad;Italiano;12193;3.3;38.77042057;16.61781853;1
ID_188;04-01-2020;Sector 1, Noida;Italiano;12027;3.1;51.83843571;12.44809142;1
ID_188;04-01-2020;Gora Bazar, Rajbari, North Dumdum, Kolkata;Peruano;12491;2.8;44.90933961;17.36510764;1
ID_188;04-01-2020;Sector 3, Marathalli;Francés;12377;2.6;30.99654381;12.28080026;1
ID_188;04-01-2020;Noorkhan Bazaar, Malakpet, Hyderabad;Italiano;12187;3.3;70.62629176;14.66170203;1
ID_190;04-01-2020;Mico Layout, Stage 2, BTM Layout,Bangalore;Italiano;8382;3.6;62.39815571;16.01999269;1
ID_190;04-01-2020;Rmz Centennial, I Gate, Whitefield;Francés;7223;3.5;50.96187447;19.70968883;1
ID_191;04-01-2020;Yerawada, Pune, Maharashtra;Italiano;15632;2.7;82.40236746;19.32349551;1
ID_192;04-01-2020;Sector 14, Noida;Francés;16645;2.9;35.92241683;19.06688793;1
ID_193;04-01-2020;Mico Layout, Stage 2, BTM Layout,Bangalore;Francés;16203;3.8;71.17088158;14.51049552;1
ID_195;04-01-2020;Dockyard Road, Mumbai CST Area;Chileno;12218;4;58.78315025;19.27118713;1
ID_195;04-01-2020;Sandhurst Road, Mumbai CST Area;Chileno;11777;4;79.88527726;16.64083192;1
ID_196;04-01-2020;Mico Layout, Stage 2, BTM Layout,Bangalore;Argentino;17375;3.8;57.75203626;19.59865031;1
ID_198;04-01-2020;Sector 1, Noida;Francés;15294;4;35.22480007;14.54001799;1
ID_199;04-01-2020;Delhi Cantt.;Chileno;9164;3.3;43.38505012;16.08388545;1
ID_200;04-01-2020;Babarpur, New Delhi, Delhi;Francés;9226;2.9;71.31099879;14.34849575;1
ID_201;04-01-2020;Sector 14, Noida;Italiano;7670;4;57.26365083;17.34696135;1
ID_201;04-01-2020;Sector 1, Noida;Chileno;8692;4;46.83653519;15.75926192;1
ID_202;04-01-2020;Delhi Cantt.;Español;13339;3.6;52.25975613;12.80984175;1
ID_203;05-01-2020;Delhi High Court, India Gate;Italiano;8162;3.3;50.6851821;17.34218264;1
ID_205;05-01-2020;D-Block, Sector 63, Noida;Español;9652;3.4;77.2908784;15.66665104;1
ID_207;05-01-2020;Delhi Administration Flats, Timarpur;Francés;8840;3.7;48.83572491;12.65996647;0
ID_207;05-01-2020;Babarpur, New Delhi, Delhi;Español;9564;2.9;73.06654479;18.97991389;1
ID_207;05-01-2020;Delhi University-GTB Nagar;Francés;7983;3.7;53.63784342;17.06479891;1
ID_210;05-01-2020;Noorkhan Bazaar, Malakpet, Hyderabad;Español;11382;3.6;63.56405132;15.97604479;1
ID_210;05-01-2020;Panjetan Colony, Malakpet, Hyderabad;Francés;11265;3.6;38.86035753;12.5955128;1
ID_210;05-01-2020;Musi Nagar, Malakpet, Hyderabad;Peruano;11199;3.6;46.57353233;17.22309224;1
ID_211;05-01-2020;Nathan Road, Mangaldas Road, Pune;Italiano;18911;3.7;34.38319871;12.94021888;1
ID_212;05-01-2020;Sector 3, Marathalli;Chileno;11878;3.7;68.31661745;19.92638739;1
ID_213;05-01-2020;Sector 63A,Gurgaon;Francés;45834;4.9;34.77397363;14.01873857;1
ID_216;05-01-2020;Mico Layout, Stage 2, BTM Layout,Bangalore;Chileno;8676;3.6;28.27608931;16.4560708;1
ID_217;05-01-2020;Sector 1, Noida;Francés;7812;3.1;55.89300198;18.53291293;1
ID_217;05-01-2020;Sector 14, Noida;Italiano;9202;3.1;26.22757197;19.30350818;1
ID_218;05-01-2020;Delhi Administration Flats, Timarpur;Argentino;19519;3.6;47.37105212;17.38675069;1
ID_218;05-01-2020;Delhi University-GTB Nagar;Chileno;20778;3.6;71.26911542;16.24751105;1
ID_219;05-01-2020;Delhi High Court, India Gate;Peruano;16476;3.3;35.25142271;13.72818885;1
ID_221;05-01-2020;Majestic;Peruano;15427;4;25.31179268;18.34698463;1
ID_224;05-01-2020;Majestic;Italiano;7837;3.6;57.75006052;16.44673536;1
ID_226;05-01-2020;Sector 63A,Gurgaon;Francés;30423;3.6;47.2086688;19.41849753;1
ID_227;05-01-2020;FTI College, Law College Road, Pune;Chileno;8383;3.2;30.98508169;17.33740549;1
ID_228;05-01-2020;Nathan Road, Mangaldas Road, Pune;Italiano;15672;3.3;58.32477187;19.15882373;1
ID_229;05-01-2020;Laxman Vihar Industrial Area, Sector 3A, Gurgoan;Chileno;9621;3.4;62.05488252;19.92292566;1
ID_231;05-01-2020;Delhi High Court, India Gate;Español;21012;3.7;38.00911492;18.84105809;1
ID_232;05-01-2020;FTI College, Law College Road, Pune;Francés;8894;3.3;77.27596162;17.7361329;1
ID_234;05-01-2020;FTI College, Law College Road, Pune;Argentino;11078;3.3;50.03235382;15.28251331;1
ID_236;05-01-2020;Pune University;Italiano;14983;3.5;35.01382291;15.46209503;1
ID_236;05-01-2020;FTI College, Law College Road, Pune;Peruano;15676;3.5;26.2533483;17.0778148;1
ID_237;05-01-2020;Hyderabad Public School, Begumpet;Chileno;28276;3.5;42.24664456;15.45280062;1
ID_239;05-01-2020;Delhi High Court, India Gate;Chileno;32672;4.1;25.35327612;13.82496171;1
ID_240;05-01-2020;D-Block, Sector 63, Noida;Francés;16619;3.7;70.21680706;14.08529189;0
ID_241;05-01-2020;Majestic;Italiano;11743;3.5;48.98845447;17.31020871;1
ID_242;05-01-2020;Sector 1, Noida;Chileno;15348;3.6;76.85043465;19.4983026;1
ID_242;05-01-2020;Sector 14, Noida;Chileno;16938;3.6;38.77489699;15.88763044;0
ID_243;05-01-2020;Mumbai Central;Chileno;16130;3.6;32.44447298;12.6388168;1
ID_243;05-01-2020;Sandhurst Road, Mumbai CST Area;Italiano;15746;3.6;45.9969681;15.71436034;1
ID_243;06-01-2020;Dockyard Road, Mumbai CST Area;Peruano;15978;3.6;26.48724757;14.56064283;1
ID_244;06-01-2020;Dockyard Road, Mumbai CST Area;Francés;16656;3.7;36.16517191;14.80270666;1
ID_244;06-01-2020;Mumbai Central;Español;16332;3.7;41.75736644;15.19862013;1
ID_244;06-01-2020;Mumbai Central;Chileno;17062;3.7;41.57117594;19.1028666;1
ID_244;06-01-2020;Sandhurst Road, Mumbai CST Area;Peruano;15834;3.7;56.78577371;17.97921028;1
ID_245;06-01-2020;Mumbai Central;Francés;13040;3.8;83.60785061;18.10840515;1
ID_245;06-01-2020;Dockyard Road, Mumbai CST Area;Español;12364;3.8;54.84631876;16.26021485;1
ID_247;06-01-2020;Mico Layout, Stage 2, BTM Layout,Bangalore;Chileno;8246;3.5;29.9190602;17.99974078;1
ID_248;06-01-2020;Sector 63A,Gurgaon;Español;20294;3.7;27.55646804;12.27851678;1
ID_249;06-01-2020;Sandhurst Road, Mumbai CST Area;Chileno;15186;3.6;81.96416618;19.95156629;1
ID_249;06-01-2020;Mumbai Central;Chileno;15007;3.6;57.28803675;12.56802159;1
ID_250;06-01-2020;Sector 1, Noida;Chileno;17274;3.1;48.40723509;14.11654592;1
ID_252;06-01-2020;Babarpur, New Delhi, Delhi;Español;17006;3.4;88.4744843;17.04967964;1
ID_254;06-01-2020;Sector 1, Noida;Chileno;7325;3.5;71.88490386;17.93193816;1
ID_255;06-01-2020;Babarpur, New Delhi, Delhi;Chileno;17292;3.1;61.13332725;18.23565206;1
ID_256;06-01-2020;Sector 1, Noida;Español;11501;3.7;58.25906678;16.53245758;1
ID_256;06-01-2020;Sector 14, Noida;Chileno;13490;3.7;31.06931005;14.57944856;1
ID_258;06-01-2020;Sector 1, Noida;Español;23343;4.1;28.7952956;15.7571226;1
ID_259;06-01-2020;MG Road, Pune;Chileno;16864;3.8;59.29054151;12.49265675;1
ID_259;06-01-2020;Nathan Road, Mangaldas Road, Pune;Peruano;16548;3.5;40.91155834;19.20415591;1
ID_261;06-01-2020;Laxman Vihar Industrial Area, Sector 3A, Gurgoan;Español;12100;3.6;89.13795794;19.35263621;1
ID_262;06-01-2020;Majestic;Chileno;16207;3.9;49.71680102;15.33821704;1
ID_266;06-01-2020;Chatta Bazaar, Malakpet, Hyderabad;Francés;13452;3.7;53.92234574;12.31512421;1
ID_267;06-01-2020;Sector 14, Noida;Italiano;15495;3.1;63.63736294;18.94898035;1
